chrom	length	bases	mean	min	max
NC_017765.1	10145833	85325	0.01	0	241
NC_017765.1_region	5541	1193	0.22	0	18
NC_017766.1	164566	209	0.00	0	1
NC_017766.1_region	0	0	0.00	0	0
NC_016972.1	73285	235	0.00	0	6
NC_016972.1_region	0	0	0.00	0	0
NC_015761.1	4460105	60686	0.01	0	526
NC_015761.1_region	6923	374	0.05	0	7
NC_017595.1	2210574	36499	0.02	0	167
NC_017595.1_region	5123	115	0.02	0	2
NC_016802.1	2468612	41462	0.02	0	247
NC_016802.1_region	3920	713	0.18	0	28
NC_016946.1	5402402	64382	0.01	0	478
NC_016946.1_region	3510	692	0.20	0	27
NC_018513.1	3463655	36069	0.01	0	623
NC_018513.1_region	4251	3503	0.82	0	165
NC_018514.1	3003666	47006	0.02	0	1121
NC_018514.1_region	333	18	0.05	0	1
NC_018631.1	1893499	45699	0.02	0	354
NC_018631.1_region	5028	15964	3.18	0	354
NC_018073.1	1933610	26371	0.01	0	50
NC_018073.1_region	5103	39	0.01	0	1
NC_019567.1	3988594	66900	0.02	0	452
NC_019567.1_region	2769	271	0.10	0	4
NC_019382.1	5264383	31053	0.01	0	157
NC_019382.1_region	4226	3458	0.82	0	157
NC_020134.1	2974379	47485	0.02	0	221
NC_020134.1_region	3762	219	0.06	0	6
NC_020211.1	5241455	46965	0.01	0	353
NC_020211.1_region	6566	265	0.04	0	5
NZ_CP007159.1	3701221	58876	0.02	0	1124
NZ_CP007159.1_region	4555	494	0.11	0	4
NC_020515.1	2407846	31892	0.01	0	55
NC_020515.1_region	4493	586	0.13	0	15
NC_020510.1	632490	10710	0.02	0	160
NC_020510.1_region	2591	570	0.22	0	13
NC_020834.2	2544094	39708	0.02	0	361
NC_020834.2_region	4787	294	0.06	0	6
NC_021089.1	1295804	38761	0.03	0	365
NC_021089.1_region	2630	5985	2.28	0	240
NC_022238.1	1991156	32762	0.02	0	293
NC_022238.1_region	4479	182	0.04	0	4
NC_022239.1	2233640	44662	0.02	0	421
NC_022239.1_region	4405	222	0.05	0	6
NC_022347.1	1673221	22462	0.01	0	56
NC_022347.1_region	3462	1870	0.54	0	56
NC_022355.1	55127	531	0.01	0	6
NC_022355.1_region	0	0	0.00	0	0
NC_022348.1	3707	37	0.01	0	1
NC_022348.1_region	0	0	0.00	0	0
NC_023134.1	4046337	62113	0.02	0	291
NC_023134.1_region	6290	391	0.06	0	6
NC_023147.1	9669	152	0.02	0	2
NC_023147.1_region	0	0	0.00	0	0
NZ_CP006943.1	2245238	29935	0.01	0	166
NZ_CP006943.1_region	4872	213	0.04	0	8
NZ_CP008897.1	4633407	40673	0.01	0	190
NZ_CP008897.1_region	6509	138	0.02	0	2
NZ_CP008898.1	62247	169	0.00	0	3
NZ_CP008898.1_region	0	0	0.00	0	0
NZ_CP008899.1	255013	2176	0.01	0	39
NZ_CP008899.1_region	0	0	0.00	0	0
NZ_CP008900.1	60388	2561	0.04	0	102
NZ_CP008900.1_region	0	0	0.00	0	0
NZ_CP008901.1	50333	915	0.02	0	16
NZ_CP008901.1_region	0	0	0.00	0	0
NZ_CP010905.2	4274782	63507	0.01	0	168
NZ_CP010905.2_region	7045	1582	0.22	0	19
NZ_CP009506.1	5017558	75945	0.02	0	153
NZ_CP009506.1_region	4462	887	0.20	0	42
NZ_CP013336.1	2424685	55235	0.02	0	293
NZ_CP013336.1_region	3128	623	0.20	0	12
NZ_CP013337.1	5838	76	0.01	0	1
NZ_CP013337.1_region	0	0	0.00	0	0
NZ_CP015137.1	4919833	56737	0.01	0	282
NZ_CP015137.1_region	5877	383	0.07	0	14
NZ_AP014642.1	6176365	279455	0.05	0	1488
NZ_AP014642.1_region	5142	69562	13.53	0	1041
NZ_AP014643.1	77793	2703	0.03	0	61
NZ_AP014643.1_region	0	0	0.00	0	0
NZ_AP014644.1	504942	5693	0.01	0	37
NZ_AP014644.1_region	0	0	0.00	0	0
NZ_AP014645.1	44369	367	0.01	0	13
NZ_AP014645.1_region	0	0	0.00	0	0
NZ_CP019683.1	1757292	39928	0.02	0	283
NZ_CP019683.1_region	3682	13235	3.59	0	283
NZ_CP039025.2	3955017	72966	0.02	0	504
NZ_CP039025.2_region	5603	1092	0.19	0	19
NZ_CP039024.1	30876	190	0.01	0	2
NZ_CP039024.1_region	0	0	0.00	0	0
NZ_CP039026.1	30410	74	0.00	0	1
NZ_CP039026.1_region	0	0	0.00	0	0
total	680055440	14016822	0.02	0	88574
total_region	888818	3115577	3.51	0	88574
